start_date,end_date,number,opinion,percent
1943-12-15,1943-12-15,32,approve,65
1943-03-24,1943-03-24,32,approve,71
1943-01-27,1943-01-27,32,approve,75
1943-01-07,1943-01-07,32,approve,75
1942-11-17,1942-11-17,32,approve,72
1942-09-03,1942-09-03,32,approve,74
1942-08-13,1942-08-13,32,approve,74
1942-07-01,1942-07-01,32,approve,79
1942-06-09,1942-06-09,32,approve,77
1942-03-12,1942-03-17,32,approve,75
1942-03-12,1942-03-17,32,approve,74
1942-02-23,1942-02-28,32,approve,78
1942-01-23,1942-01-23,32,approve,83
1941-09-17,1941-09-17,32,approve,70
1941-09-09,1941-09-09,32,approve,70
1941-08-26,1941-08-26,32,approve,67
1941-08-19,1941-08-19,32,approve,65
1941-08-05,1941-08-05,32,approve,68
1941-07-29,1941-07-29,32,approve,65
1941-07-22,1941-07-22,32,approve,69
1952-12-11,1952-12-16,33,approve,32
1952-12-04,1952-12-04,33,approve,32
1952-10-07,1952-10-07,33,approve,32
1952-10-03,1952-10-03,33,approve,30
1952-10-01,1952-10-01,33,approve,32
1952-07-11,1952-07-11,33,approve,28
1952-05-28,1952-05-28,33,approve,30
1952-05-09,1952-05-09,33,approve,26
1952-04-11,1952-04-11,33,approve,28
1952-02-09,1952-02-14,33,approve,22
1952-01-04,1952-01-04,33,approve,23
1951-11-11,1951-11-16,33,approve,22
1951-10-12,1951-10-12,33,approve,27
1951-08-01,1951-08-01,33,approve,29
1951-07-06,1951-07-06,33,approve,28
1951-06-14,1951-06-14,33,approve,24
1951-05-19,1951-05-24,33,approve,23
1951-04-14,1951-04-14,33,approve,24
1951-03-24,1951-03-24,33,approve,26
1951-03-02,1951-03-02,33,approve,27
1951-02-04,1951-02-09,33,approve,25
1950-12-01,1950-12-01,33,approve,33
1950-10-18,1950-10-18,33,approve,40
1950-10-11,1950-10-11,33,approve,36
1950-10-06,1950-10-06,33,approve,42
1950-09-29,1950-09-29,33,approve,34
1950-09-15,1950-09-15,33,approve,34
1950-08-18,1950-08-18,33,approve,42
1950-07-28,1950-07-28,33,approve,39
1950-07-07,1950-07-07,33,approve,45
1950-06-04,1950-06-09,33,approve,36
