"Variety","Base.Price.Per.Ton","Brix.Code","Tons","Year","District","District_Number","Type"
"red globe",3000,100,25.6,2016,"DISTRICT 3",3,"table"
"albarino",2000,100,10.3,2016,"DISTRICT 3",3,"white"
"albarino",2000,13400,3.8,2016,"DISTRICT 3",3,"white"
"albarino",2100,100,10,2016,"DISTRICT 3",3,"white"
"albarino",2100,13600,1.7,2016,"DISTRICT 3",3,"white"
"albarino",2500,13600,1,2016,"DISTRICT 3",3,"white"
"albarino",2750,100,5.2,2016,"DISTRICT 3",3,"white"
"arneis",1831.88,100,53.7,2016,"DISTRICT 3",3,"white"
"arneis",2000,24500,2.4,2016,"DISTRICT 3",3,"white"
"arneis",2150,100,4,2016,"DISTRICT 3",3,"white"
"chardonnay",400,100,12.7,2016,"DISTRICT 3",3,"white"
"chardonnay",450,100,50.7,2016,"DISTRICT 3",3,"white"
"chardonnay",700,100,1.3,2016,"DISTRICT 3",3,"white"
"chardonnay",800,17200,6.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1000,100,4.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1000,21500,12.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1100,100,263.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1100,24500,19.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1200,100,36.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1200,24500,116.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1300,100,148,2016,"DISTRICT 3",3,"white"
"chardonnay",1350,100,15.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1400,100,435.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1400,24500,25.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1450,100,540,2016,"DISTRICT 3",3,"white"
"chardonnay",1450,15200,23.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1459.19,100,128.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1500,100,248,2016,"DISTRICT 3",3,"white"
"chardonnay",1500,20800,3,2016,"DISTRICT 3",3,"white"
"chardonnay",1500,20900,45.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1500,21000,8.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1500,60505,4,2016,"DISTRICT 3",3,"white"
"chardonnay",1534.36,100,43.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1575,100,31.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1581.05,100,665.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1587.27,100,76.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1600,100,473.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1600,24500,14.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1641.33,100,20.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1641.65,100,11.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1645,100,40.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1650,100,1522.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1650,6650,30.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1650,16000,116.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1651.07,100,3.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1675,100,432.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1675,13800,18.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1683,100,106.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1699.5,100,46,2016,"DISTRICT 3",3,"white"
"chardonnay",1700,100,697.3,2016,"DISTRICT 3",3,"white"
"chardonnay",1700,6650,90.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1700,17200,24.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1700,24500,406.3,2016,"DISTRICT 3",3,"white"
"chardonnay",1716.67,100,101.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1750,100,401.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1750,19000,54.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1750,24500,11.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1770,100,40.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1784.19,100,134.3,2016,"DISTRICT 3",3,"white"
"chardonnay",1790.49,21500,18.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1800,100,893.3,2016,"DISTRICT 3",3,"white"
"chardonnay",1800,19000,101.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1800,24500,541,2016,"DISTRICT 3",3,"white"
"chardonnay",1825,100,376.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1831.12,100,143.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1835.92,100,13.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1845.84,100,103.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1850,100,722.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1850,14000,2.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1850,18640,41.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1850,19000,104.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1850,24500,198.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1851.12,100,555.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1853,24500,37.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1862.6,19100,122.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1869,100,27.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1870,100,45.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1886.34,100,14.2,2016,"DISTRICT 3",3,"white"
"chardonnay",1887.6,100,256.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1888.56,100,16.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1899.64,100,28.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1900,100,1830.4,2016,"DISTRICT 3",3,"white"
"chardonnay",1900,16800,10.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1900,19000,76,2016,"DISTRICT 3",3,"white"
"chardonnay",1900,24500,41,2016,"DISTRICT 3",3,"white"
"chardonnay",1910,100,15.9,2016,"DISTRICT 3",3,"white"
"chardonnay",1914.36,100,70.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1925,100,41.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1940,100,35.5,2016,"DISTRICT 3",3,"white"
"chardonnay",1943,100,180.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1946.14,100,184,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,100,1061.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,5400,11.6,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,15200,36.1,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,17400,16.7,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,19000,570,2016,"DISTRICT 3",3,"white"
"chardonnay",1950,24500,557.8,2016,"DISTRICT 3",3,"white"
"chardonnay",1950.13,100,97.9,2016,"DISTRICT 3",3,"white"
